EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
;200556;;;13;METROPOLITANA DE SANTIAGO;95;SERVICIO DE SALUD NO APLICA;Perteneciente al Sistema Nacional de Servicios de Salud;ATENCIÓN REMOTA;ESTABLECIMIENTO DE SALUD;HOSPITAL DIGITAL;No Aplica;Servicio de Salud;No Aplica;13101;SANTIAGO;Calle;670;Huérfanos, Piso 18;933858910;05-11-2018;NO;No Aplica;No Aplica;-33.439.415;-70.646.293;PÚBLICO;VIGENTE EN OPERACIÓN HABITUAL;No Aplica;NO APLICA;25-08-2022;
;201435;;;13;METROPOLITANA DE SANTIAGO;95;SERVICIO DE SALUD NO APLICA;Perteneciente al Sistema Nacional de Servicios de Salud;ATENCIÓN REMOTA;ESTABLECIMIENTO DE SALUD;DEPARTAMENTO DE ASISTENCIA REMOTA EN SALUD;No Aplica;Servicio de Salud;No Aplica;13101;SANTIAGO;Calle;689;Monjitas 689;249528;29-09-2023;NO;No Aplica;No Aplica;-33.436.768;-70.646.957;PÚBLICO;VIGENTE EN OPERACIÓN HABITUAL;No Aplica;NO APLICA;06-10-2023;
;202047;;;2;ANTOFAGASTA;2;SEREMI DE SALUD DE ANTOFAGASTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;COANIQUEM ANTOFAGASTA;No Aplica;Privado;Secundario;2101;ANTOFAGASTA;Avenida;11385;Pedro Aguirre Cerda 11385;56939504380;01-04-2025;NO;No Aplica;No Aplica;-2.355.635.112;-7.039.170.254;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;22-07-2025;
01-237;101237;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CLÍNICA DR. HÉCTOR SÁNCHEZ;No Aplica;Privado;Secundario;15101;ARICA;Calle;1286;18 de Septiembre;582252498;13-09-2007;NO;No Aplica;No Aplica;-18.483.846;-70.309.716;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;;
;201476;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DR. CRISTIAN ABARCA GARRIDO;No Aplica;Privado;No Aplica;15101;ARICA;Calle;1315;18 de Septiembre;998298019;28-07-1998;NO;No Aplica;No Aplica;-184.844;-70.309.196;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;18-03-2024;
;201477;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO KINÉSICO MEK;No Aplica;Privado;No Aplica;15101;ARICA;Calle;820;San Martín;9 9644 2498;25-09-2009;NO;No Aplica;No Aplica;-18.479.011;-70.312.325;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;;ATENCIÓN ABIERTA-AMBULATORIA;18-03-2024;
;201478;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;S. P RADIOLÓGICOS DENTALES DENTSIC;No Aplica;Privado;No Aplica;15101;ARICA;Calle;580;Almirante Latorre;9 3030 2635;30-08-2021;NO;No Aplica;No Aplica;-18.482.561;-70.311.631;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;No Aplica;ATENCIÓN ABIERTA-AMBULATORIA;18-03-2024;
;201482;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;UNIDAD DE ATENCIÓN;SALA DE PROCEDIMIENTOS OFTÁLMOLOGICOS  7 VISIÓN;No Aplica;Privado;No Aplica;15101;ARICA;Calle;636;Almirante Latorre;933369995;07-08-2023;NO;No Aplica;No Aplica;-18.482.338;-70.311.414;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;22-03-2024;
;201489;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DE RESONANCIA MAGNÉTICA IMARED ARICA;No Aplica;Privado;Secundario;15101;ARICA;Calle;1955;18 de Septiembre;2382902;14-11-2022;NO;No Aplica;No Aplica;-18.485.635;-70.300.046;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;26-03-2024;
;201490;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;SALA DE PROCEDIMIENTOS OFTÁLMOLOGICOS  VISIÓN LATINA;No Aplica;Privado;Secundario;15101;ARICA;Calle;363;Cristobal Colón;2233476;19-08-2022;NO;No Aplica;No Aplica;-18.478.605;-70.319.411;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;26-03-2024;
;201495;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO KINÉSICO KAIZEN;No Aplica;Privado;Secundario;15101;ARICA;Calle;784;21 de Mayo;988089526;09-07-2008;NO;No Aplica;No Aplica;-18.481.936;-70.315.513;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201498;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;S.P KINÉSICA NEVENKA PACHECO HERRERA;No Aplica;Privado;Secundario;15101;ARICA;Avenida;1108;Chile;997201405;29-07-2016;NO;No Aplica;No Aplica;-18.472.726;-70.314.981;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201500;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;"CENTRO DE IMAGENOLOGÍA ""DENT FRUCER""";No Aplica;Privado;Secundario;15101;ARICA;Calle;565;Almirante Latorre;2252237;23-04-2015;NO;No Aplica;No Aplica;-18.482.595;-70.311.843;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201501;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO RADIOLÓGICO DE ARICA S.A;No Aplica;Privado;Secundario;15101;ARICA;Avenida;519;Vicuña Mackenna;2252639;23-07-2013;NO;No Aplica;No Aplica;-18.482.083;-70.312.996;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201511;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO KINÉSICO CORPOBALLO;No Aplica;Privado;Secundario;15101;ARICA;Calle;1361;Juan Antonio Ríos;2233061;21-04-2014;NO;No Aplica;No Aplica;-18.478.429;-70.302.117;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201515;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;"SALA DE PROCEDIMIENTO ECOGRÁFICOS ""NELSON MAMANI""";No Aplica;Privado;Secundario;15101;ARICA;Calle;580;Almirante Latorre;232813753;11-02-1998;NO;No Aplica;No Aplica;-18.482.561;-70.311.631;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201516;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;SALA DE PROCEDIMIENTOS CARDIOLÓGICOS CARDIOCHECK;No Aplica;Privado;Secundario;15101;ARICA;Calle;686;Augusto D´Halmar;413221648;02-07-1996;NO;No Aplica;No Aplica;-18.483.775;-70.307.272;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201519;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;"CENTRO KINÉSICO ""KINE WELLNESS ARICA""";No Aplica;Privado;Secundario;15101;ARICA;Calle;671;Augusto D´Halmar;944081801;20-05-2022;NO;No Aplica;No Aplica;-18.483.817;-7.030.761;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201606;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DERMATOLÓGICO INTEGRAL CEDERMI;No Aplica;Privado;Secundario;15101;ARICA;Calle;236;Covadonga;;12-03-2024;NO;No Aplica;No Aplica;-1.848.654.915;-7.030.408.837;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;29-07-2024;
;201607;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DE REHABILITACIÓN E HIDROTERAPIA UMAVIDA LTDA;No Aplica;Privado;Secundario;15101;ARICA;Calle;440;Caupolicán;;30-08-2018;NO;No Aplica;No Aplica;-1.848.490.872;-7.030.582.318;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;02-08-2024;
;201547;;;3;ATACAMA;3;SEREMI DE SALUD DE ATACAMA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;GATROMEC;No Aplica;Privado;Secundario;3101;COPIAPÓ;Avenida;1289;El Palomar;522051045;13-03-2024;NO;No Aplica;No Aplica;-27.379;-70.331.616;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;14-05-2024;
;201863;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;KINEFIT - SALAMANCA;No Aplica;Privado;No Aplica;4204;SALAMANCA;Calle;711;O'Higgins 711-E;962282123;13-06-2022;NO;No Aplica;No Aplica;-3.177.907.169;-7.096.685.952;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;29-05-2025;
;201864;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;BIO IMAGEN RX;No Aplica;Privado;No Aplica;4204;SALAMANCA;Calle;110;Ruiz Valledor;532551066;11-09-2006;NO;No Aplica;No Aplica;-3.177.783.464;-7.096.607.493;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;29-05-2025;
;201876;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;JEA KINESIOLOGÍA;No Aplica;Privado;No Aplica;4201;ILLAPEL;Calle;461;San Juan de Dios;987014026;26-07-2019;NO;No Aplica;No Aplica;-3.162.953.275;-7.116.545.553;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;29-05-2025;
;201877;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;A&M CUIDADO CORPORAL INTEGRAL;No Aplica;Privado;No Aplica;4201;ILLAPEL;Calle;509;Independencia;982628462;04-11-2024;NO;No Aplica;No Aplica;-3.163.004.451;-7.116.443.949;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;29-05-2025;
;201884;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;KINECENTER - OVALLE;No Aplica;Privado;No Aplica;4301;OVALLE;Calle;490;Antofagasta 490;985247218;30-08-2023;NO;No Aplica;No Aplica;-3.060.274.881;-7.119.364.865;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;29-05-2025;
;201888;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;KINESIX;No Aplica;Privado;No Aplica;4301;OVALLE;Calle;494;Independencia;991564464;24-04-2014;NO;No Aplica;No Aplica;-3.060.576.377;-7.120.379.206;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;02-06-2025;
;201890;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;DIGIRAD;No Aplica;Privado;No Aplica;4301;OVALLE;Calle;565;Tangue;532626342;29-01-2019;NO;No Aplica;No Aplica;-3.060.616.398;-7.120.481.629;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;02-06-2025;
;201895;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;ALMAKINESIS;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;1115;Presidente José Manuel Balmaceda, oficina 311;941463247;14-09-2021;NO;No Aplica;No Aplica;-299.100.902;-7.125.032.521;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;02-06-2025;
;201898;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DE DIAGNOSTICO NUARA - LARRAÍN ALCALDE;No Aplica;Privado;No Aplica;4101;LA SERENA;Calle;1146;Larraín Alcalde;512485980;11-08-2017;NO;No Aplica;No Aplica;-2.991.120.822;-7.124.856.888;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;02-06-2025;
;201899;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO KINÉSICO BALANCE;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;1115;Presidente José Manuel Balmaceda, oficina 403;992652883;24-01-2014;NO;No Aplica;No Aplica;-299.100.902;-7.125.032.521;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;02-06-2025;
;201914;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DE DIAGNOSTICO NUARA - HUANHUALÍ;No Aplica;Privado;No Aplica;4101;LA SERENA;Calle;330;Huanhualí;512485980;06-12-2024;NO;No Aplica;No Aplica;-299.140.965;-7.125.485.065;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201915;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;FOCUSRAD - LA SERENA;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;785;Amunátegui, oficina 225;958681122;05-06-2018;NO;No Aplica;No Aplica;-2.991.053.567;-7.124.726.086;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201929;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO MÉDICO RADS - FUNCIÓN PULMONAR;No Aplica;Privado;No Aplica;4102;COQUIMBO;Calle;748;Presidente Arturo Alessandri;512322831;16-05-2023;NO;No Aplica;No Aplica;-2.996.890.175;-7.133.890.088;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201930;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;RADIOLOGÍA DENTAL ARENAS DE COQUIMBO;No Aplica;Privado;No Aplica;4102;COQUIMBO;Avenida;340;Pedro Nolasco Videla, oficina 209 y 215;985163164;02-10-2023;NO;No Aplica;No Aplica;-2.996.324.215;-7.133.625.019;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201931;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;QUIROPRAXIS REHABILITACIÓN INTEGRAL;No Aplica;Privado;No Aplica;4102;COQUIMBO;Avenida;748;Presidente Arturo Alessandri;512322831;16-05-2023;NO;No Aplica;No Aplica;-2.996.890.175;-7.133.890.088;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201932;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;MEDICLIFE;No Aplica;Privado;No Aplica;4102;COQUIMBO;Avenida;810;Pedro Nolasco Videla, oficina 214;922485348;19-12-2023;NO;No Aplica;No Aplica;-2.996.474.728;-7.133.585.172;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201934;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;IMATECSALUD - O&G COQUIMBO;No Aplica;Privado;No Aplica;4102;COQUIMBO;Avenida;348;Pedro Nolasco Videla, 3° piso;6006009060;14-02-2022;NO;No Aplica;No Aplica;-2.996.360.032;-7.133.591.704;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201936;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;DIAGNOSALUD - DIAGNÓSTICO MÉDICO POR IMAGEN;No Aplica;Privado;No Aplica;4102;COQUIMBO;Avenida;810;Pedro Nolasco Videla, 1° piso;956472909;03-02-2023;NO;No Aplica;No Aplica;-2.996.474.728;-7.133.585.172;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201940;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;RESONANCIA MAGNÉTICA DEL NORTE;No Aplica;Privado;No Aplica;4102;COQUIMBO;Avenida;718;Presidente Arturo Alessandri;512322831;27-06-2000;NO;No Aplica;No Aplica;-2.996.875.662;-7.133.903.452;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;09-06-2025;
;201964;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO PROACTIVE;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;2475;Gabriela Mistral;945893817;09-11-2017;NO;No Aplica;No Aplica;-2.992.718.915;-7.124.464.478;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;30-06-2025;
;201971;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;ODONTOLOGÍA C-MAX;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;2195;José Manuel Balmaceda, oficina 422;512446381;15-12-2015;NO;No Aplica;No Aplica;-2.992.067.298;-7.125.530.736;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;30-06-2025;
;201984;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;DIMEX RADIOLOGÍA;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;1960;Juan Cisternas, oficina 32;512433187;30-07-2018;NO;No Aplica;No Aplica;-2.991.974.856;-7.124.526.482;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;30-06-2025;
;201989;;;4;COQUIMBO;4;SEREMI DE SALUD DE COQUIMBO;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;RADIOLOGÍA LA SERENA;No Aplica;Privado;No Aplica;4101;LA SERENA;Avenida;2497;Juan Cisternas, oficinas 309-311;944212625;28-04-2023;NO;No Aplica;No Aplica;-2.992.418.899;-7.124.763.567;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;30-06-2025;
